areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCases,newCasesBySpecimenDate
E92000001,England,nation,2021-05-02,132445,1082,1215
E92000001,England,nation,2021-05-01,132430,1071,1128
E92000001,England,nation,2021-04-30,132417,1161,1411
E92000001,England,nation,2021-04-29,132401,1235,1763
E92000001,England,nation,2021-04-28,132386,1278,2018
E92000001,England,nation,2021-04-27,132367,1310,1694
E92000001,England,nation,2021-04-26,132344,1393,2093
E92000001,England,nation,2021-04-25,132325,1377,1775
E92000001,England,nation,2021-04-24,132304,1401,1203
E92000001,England,nation,2021-04-23,132285,1478,1580
E92000001,England,nation,2021-04-22,132262,1523,1885
E92000001,England,nation,2021-04-21,132234,1609,2128
E92000001,England,nation,2021-04-20,132209,1649,1941
E92000001,England,nation,2021-04-19,132179,1732,2128
E92000001,England,nation,2021-04-18,132162,1691,2129
E92000001,England,nation,2021-04-17,132135,1735,1309
E92000001,England,nation,2021-04-16,132101,1844,1810
E92000001,England,nation,2021-04-15,132073,1885,1802
E92000001,England,nation,2021-04-14,132037,1972,1944
E92000001,England,nation,2021-04-13,132012,2057,1909
E92000001,England,nation,2021-04-12,131975,2108,2235
E92000001,England,nation,2021-04-11,131940,2096,1902
E92000001,England,nation,2021-04-10,131908,2190,1889
E92000001,England,nation,2021-04-09,131872,2321,2314
E92000001,England,nation,2021-04-08,131840,2382,2482
E92000001,England,nation,2021-04-07,131789,2486,2590
E92000001,England,nation,2021-04-06,131752,2588,2564
E92000001,England,nation,2021-04-05,131715,2680,2189
E92000001,England,nation,2021-04-04,131680,2672,1924
E92000001,England,nation,2021-04-03,131630,2677,2011
E92000001,England,nation,2021-04-02,131598,2784,2131
E92000001,England,nation,2021-04-01,131560,2928,2867
E92000001,England,nation,2021-03-31,131506,3084,3148
E92000001,England,nation,2021-03-30,131442,3283,2955
E92000001,England,nation,2021-03-29,131394,3466,3196
E92000001,England,nation,2021-03-28,131339,3438,4102
E92000001,England,nation,2021-03-27,131297,3676,2946
E92000001,England,nation,2021-03-26,131242,3712,3627
E92000001,England,nation,2021-03-25,131181,3763,4451
E92000001,England,nation,2021-03-24,131114,4005,5117
E92000001,England,nation,2021-03-23,131056,4245,4345
E92000001,England,nation,2021-03-22,130974,4501,5148
E92000001,England,nation,2021-03-21,130888,4492,4517
E92000001,England,nation,2021-03-20,130782,4589,3367
E92000001,England,nation,2021-03-19,130695,4841,4143
E92000001,England,nation,2021-03-18,130615,5083,4527
E92000001,England,nation,2021-03-17,130530,5397,4849
E92000001,England,nation,2021-03-16,130426,5664,4743
E92000001,England,nation,2021-03-15,130332,5976,5442
E92000001,England,nation,2021-03-14,130213,6039,3586
E92000001,England,nation,2021-03-13,130101,6072,3456
E92000001,England,nation,2021-03-12,129979,6391,4618
E92000001,England,nation,2021-03-11,129863,6687,4690
E92000001,England,nation,2021-03-10,129711,6975,5014
E92000001,England,nation,2021-03-09,129577,7451,5222
E92000001,England,nation,2021-03-08,129417,7847,5572
E92000001,England,nation,2021-03-07,129252,7812,3543
E92000001,England,nation,2021-03-06,129080,8021,3708
E92000001,England,nation,2021-03-05,128902,8594,4553
E92000001,England,nation,2021-03-04,128699,9092,4798
E92000001,England,nation,2021-03-03,128496,9594,5103
E92000001,England,nation,2021-03-02,128311,10121,5685
E92000001,England,nation,2021-03-01,128101,10765,5893
E92000001,England,nation,2021-02-28,127852,10663,3957
E92000001,England,nation,2021-02-27,127597,11090,4104
E92000001,England,nation,2021-02-26,127334,11781,5668
E92000001,England,nation,2021-02-25,127075,12449,6620
E92000001,England,nation,2021-02-24,126772,13007,7304
E92000001,England,nation,2021-02-23,126458,13511,8144
E92000001,England,nation,2021-02-22,126126,14137,9856
E92000001,England,nation,2021-02-21,125804,14142,6800
E92000001,England,nation,2021-02-20,125449,14316,6896
E92000001,England,nation,2021-02-19,125064,15018,8884
E92000001,England,nation,2021-02-18,124677,15633,9912
E92000001,England,nation,2021-02-17,124223,16458,10029
E92000001,England,nation,2021-02-16,123787,17093,10818
E92000001,England,nation,2021-02-15,123289,17730,12471
E92000001,England,nation,2021-02-14,122742,17787,7533
E92000001,England,nation,2021-02-13,122225,17694,7744
E92000001,England,nation,2021-02-12,121717,19009,10573
E92000001,England,nation,2021-02-11,121173,19983,11230
E92000001,England,nation,2021-02-10,120586,20926,11848
E92000001,England,nation,2021-02-09,119959,22067,12246
E92000001,England,nation,2021-02-08,119332,23020,13852
E92000001,England,nation,2021-02-07,118633,22991,10160
E92000001,England,nation,2021-02-06,117970,23042,10590
E92000001,England,nation,2021-02-05,117287,24402,13978
E92000001,England,nation,2021-02-04,116518,25334,16160
E92000001,England,nation,2021-02-03,115783,26374,17410
E92000001,England,nation,2021-02-02,114918,27397,17660
E92000001,England,nation,2021-02-01,114067,28539,20112
E92000001,England,nation,2021-01-31,113176,28112,13711
E92000001,England,nation,2021-01-30,112280,28571,15002
E92000001,England,nation,2021-01-29,111358,29359,19686
E92000001,England,nation,2021-01-28,110355,30333,21845
E92000001,England,nation,2021-01-27,109247,30846,23239
E92000001,England,nation,2021-01-26,108143,32337,24432
E92000001,England,nation,2021-01-25,107100,32938,27112
E92000001,England,nation,2021-01-24,105953,32907,15456
E92000001,England,nation,2021-01-23,104872,32614,19873
E92000001,England,nation,2021-01-22,103727,33412,26914
E92000001,England,nation,2021-01-21,102541,33235,28755
E92000001,England,nation,2021-01-20,101340,33886,31746
E92000001,England,nation,2021-01-19,100107,34015,35968
E92000001,England,nation,2021-01-18,98784,34336,40720
E92000001,England,nation,2021-01-17,97545,33352,26210
E92000001,England,nation,2021-01-16,96320,32923,27655
E92000001,England,nation,2021-01-15,95082,33362,36783
E92000001,England,nation,2021-01-14,93924,32925,38531
E92000001,England,nation,2021-01-13,92760,32689,41162
E92000001,England,nation,2021-01-12,91603,32202,44676
E92000001,England,nation,2021-01-11,90433,32070,52022
E92000001,England,nation,2021-01-10,89363,30758,32858
E92000001,England,nation,2021-01-09,88336,29462,35445
E92000001,England,nation,2021-01-08,87363,29346,42336
E92000001,England,nation,2021-01-07,86441,28246,46861
E92000001,England,nation,2021-01-06,85526,27727,51318
E92000001,England,nation,2021-01-05,84644,26467,58039
E92000001,England,nation,2021-01-04,83792,26626,69116
E92000001,England,nation,2021-01-03,83003,24957,49513
E92000001,England,nation,2021-01-02,82319,23557,54173
